nome,porte,energia,espaco_necessario,temperamento,idade
Thor,Pequeno,1,Apartamento,Brincalhão,1
Mel,Pequeno,1,Apartamento,Dócil,2
Luna,Pequeno,1,Apartamento,Sociável,3
Bob,Pequeno,1,Apartamento,Agitado,4
Rex,Pequeno,1,Apartamento,Protetor,5
Aline,Pequeno,1,Apartamento,Calmo,6
Pipoca,Pequeno,1,Apartamento,Medroso,7
Billy,Pequeno,1,Casa com quintal pequeno,Brincalhão,8
Bidu,Pequeno,1,Casa com quintal pequeno,Dócil,9
Nina,Pequeno,1,Casa com quintal pequeno,Sociável,10
Amora,Pequeno,1,Casa com quintal pequeno,Agitado,11
Belinha,Pequeno,1,Casa com quintal pequeno,Protetor,12
Toby,Pequeno,1,Casa com quintal pequeno,Calmo,1
Max,Pequeno,1,Casa com quintal pequeno,Medroso,2
Zeus,Pequeno,1,Casa com quintal grande,Brincalhão,3
Pandora,Pequeno,1,Casa com quintal grande,Dócil,4
Snoopy,Pequeno,1,Casa com quintal grande,Sociável,5
Lola,Pequeno,1,Casa com quintal grande,Agitado,6
Marley,Pequeno,1,Casa com quintal grande,Protetor,7
Cacau,Pequeno,1,Casa com quintal grande,Calmo,8
Simba,Pequeno,1,Casa com quintal grande,Medroso,9
Fred,Pequeno,2,Apartamento,Brincalhão,10
Pingo,Pequeno,2,Apartamento,Dócil,11
Chico,Pequeno,2,Apartamento,Sociável,12
Pitty,Pequeno,2,Apartamento,Agitado,1
Frida,Pequeno,2,Apartamento,Protetor,2
Luke,Pequeno,2,Apartamento,Calmo,3
Maia,Pequeno,2,Apartamento,Medroso,4
Teo,Pequeno,2,Casa com quintal pequeno,Brincalhão,5
Paçoca,Pequeno,2,Casa com quintal pequeno,Dócil,6
Nala,Pequeno,2,Casa com quintal pequeno,Sociável,7
Akira,Pequeno,2,Casa com quintal pequeno,Agitado,8
Cookie,Pequeno,2,Casa com quintal pequeno,Protetor,9
Kira,Pequeno,2,Casa com quintal pequeno,Calmo,10
Bartho,Pequeno,2,Casa com quintal pequeno,Medroso,11
Suzi,Pequeno,2,Casa com quintal grande,Brincalhão,12
Tutu,Pequeno,2,Casa com quintal grande,Dócil,1
Jade,Pequeno,2,Casa com quintal grande,Sociável,2
Milo,Pequeno,2,Casa com quintal grande,Agitado,3
Cora,Pequeno,2,Casa com quintal grande,Protetor,4
Thor,Pequeno,2,Casa com quintal grande,Calmo,5
Mel,Pequeno,2,Casa com quintal grande,Medroso,6
Luna,Pequeno,3,Apartamento,Brincalhão,7
Bob,Pequeno,3,Apartamento,Dócil,8
Rex,Pequeno,3,Apartamento,Sociável,9
Aline,Pequeno,3,Apartamento,Agitado,10
Pipoca,Pequeno,3,Apartamento,Protetor,11
Billy,Pequeno,3,Apartamento,Calmo,12
Bidu,Pequeno,3,Apartamento,Medroso,1
Nina,Pequeno,3,Casa com quintal pequeno,Brincalhão,2
Amora,Pequeno,3,Casa com quintal pequeno,Dócil,3
Belinha,Pequeno,3,Casa com quintal pequeno,Sociável,4
Toby,Pequeno,3,Casa com quintal pequeno,Agitado,5
Max,Pequeno,3,Casa com quintal pequeno,Protetor,6
Zeus,Pequeno,3,Casa com quintal pequeno,Calmo,7
Pandora,Pequeno,3,Casa com quintal pequeno,Medroso,8
Snoopy,Pequeno,3,Casa com quintal grande,Brincalhão,9
Lola,Pequeno,3,Casa com quintal grande,Dócil,10
Marley,Pequeno,3,Casa com quintal grande,Sociável,11
Cacau,Pequeno,3,Casa com quintal grande,Agitado,12
Simba,Pequeno,3,Casa com quintal grande,Protetor,1
Fred,Pequeno,3,Casa com quintal grande,Calmo,2
Pingo,Pequeno,3,Casa com quintal grande,Medroso,3
Chico,Pequeno,4,Apartamento,Brincalhão,4
Pitty,Pequeno,4,Apartamento,Dócil,5
Frida,Pequeno,4,Apartamento,Sociável,6
Luke,Pequeno,4,Apartamento,Agitado,7
Maia,Pequeno,4,Apartamento,Protetor,8
